Unnamed: 0,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,brand_name,rank
0,AFNBBDPTPZYYPDVEXBJISPL2QJQA,True,Brown is small,"I ordered a black one and a brown , the size of these are totally different , the black one is loose and longer and the Brown one is really tight and smaller . You would think that "" made in the USA "" would have better consistency and quality assurance . Maybe these are fakes I don't know , but when it says "" one size fits all "" they must mean buy three different colors and maybe one of them will fit , because they will all be different . Or they sent me a little boys one and a men's , but they are both labeled the same .","November 12, 2019",Rick Bosman,1.0,18,https://www.amazon.ca/gp/profile/amzn1.account.AFNBBDPTPZYYPDVEXBJISPL2QJQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:24.435217,2020-09-17 19:59:24.607055,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
1,AECJHGAHVQCKW4VWKWLBVFDXJDMQ,True,Excellent,"The products arrived on time and did in fact have Made in Canada on them. I gave these as gifts and the feedback was overall very good. It is a one size fits all, but more importantly, the hats keep you warm and are easy to maintain. People have raised concern that the tags are false and this is made in China, however the quality feels strong on the Black Toques and have so far performed very good.","January 6, 2019",Amazon Customer,5.0,7,https://www.amazon.ca/gp/profile/amzn1.account.AECJHGAHVQCKW4VWKWLBVFDXJDMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:24.613741,2020-09-17 19:59:24.775090,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
2,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,True,Great Product,"This product is exactly as described. It is a heavy, good quality material. There is very little give in this hat, and it keeps it's shape well. It is very easy to clean, and seems to not hold odors like other materials do. I have owned several of these hats in the past and will continue to purchase these in the future.

Overall: It is an awesome, warm hat and a great value too! I would definitely recommend these to anyone, and can't wait to give these out as gifts this holiday season.","November 21, 2018",Amazon Customer,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AG4U3S7QJW2WXH2GPRZUHSFKKBPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:24.781064,2020-09-17 19:59:25.004765,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
3,AHRIRAK4QF7UYM5ISZEOD6SJYRSA,True,Love this!,"Amazing quality and looks great. Not to mention super warm. Working in the trades I have purchased thousands of dollars of Carhartt product and this, like the rest doesn’t disappoint. This toque definitely isn’t fitted to the head at the top- so heads up if that’s not your thing!","November 5, 2017",Can123456,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AHRIRAK4QF7UYM5ISZEOD6SJYRSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.012748,2020-09-17 19:59:25.221451,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
4,AGQUA2BLSSR6C3CK6Z6WENKF4BJQ,True,Woman approved,"I’m a girl and I bought this hat thinking it may be a little large, however if anything it fits a bit snug. Haven’t washed it yet but I’m hoping it’ll stretch easier after a wash. Also it’s a little long so the top sticks up a bit but I like the style so no complaints","November 24, 2019",Madison,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AGQUA2BLSSR6C3CK6Z6WENKF4BJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.227535,2020-09-17 19:59:25.385235,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
5,AFGWN63QND3ERX343IGU24QJOPYQ,True,Fits tight and sits weird,"Picture made it look like this one for on your head perfect, but this one leaves that awkward little extra bit of hat stick off the top of your head, I like the top of my head to hit the hat, it's like how some kids wear their hat above their ears so they have a bit sticking high up, it's just weird, fashionable I suppose.

It's also really tight, probably better if you're bald, if you have some hair, you'll get serious hat head.","December 12, 2019",X.Farrell,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFGWN63QND3ERX343IGU24QJOPYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.391424,2020-09-17 19:59:25.539828,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
6,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,True,Fits my XL head! Finally a one size fits all that does!,"Finally a hat that fits my XL head! When companies say one size fits all, they’re normally lying. This hat fits. Keeps my head fairly warm in the fall weather probably too light for the negative weather in Ontario.","November 5, 2019",SS,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AGIJXTLLMI4SUGB2RJP4HKZYTMSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.545813,2020-09-17 19:59:25.710238,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
7,AG6RS2WDSPHDOSYWIJIOYR6EPTAQ,True,Good hat,"I work outside during the winter and this hat is perfect. I have a big head and the hat is fairly big even for me. That being said it was exactly what I needed. Since I sweat a lot while working, I need to wash my hats more often. Most hats tend to shrink dramatically after numerous runs through the dryer which become unwearable for me. It's been one full winter and this hat seems like it will be useable for several more to come","June 2, 2020",Sean,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG6RS2WDSPHDOSYWIJIOYR6EPTAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.716506,2020-09-17 19:59:25.867740,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
8,AHZAEUTAYEDX6AVABCLQ6SC2T6TQ,True,Great! Perfect for Canadian Winters!,"Cute! Fits great! Warm! Has the authentic tag. Only complaint is that it was that it came wrinkled in the centre, not sure if I can remedy with a steam or iron. Isn’t too noticeable since it’s black, but it’s a wrinkle/fold that shouldn’t be there and is “permanent”/“pressed in” so to speak.","December 16, 2019",ZRB,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHZAEUTAYEDX6AVABCLQ6SC2T6TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:25.873531,2020-09-17 19:59:26.029963,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
9,AHKRLK3RS6HVZCAM6WX5UDJVHX4A,True,Carhartt Black toque 2020 trending,"This toque!!! so well made tightly woven perfectly stitched Carhartt Logo. A staple for my winter/fall wardrobe Carhartt since 1889 I mean c'mon, definitely a reliable Brand.

You wont regret this buy.
Shopper Kricket","January 15, 2020",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHKRLK3RS6HVZCAM6WX5UDJVHX4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-17 19:59:26.036172,2020-09-17 19:59:26.211706,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
10,AFGXFQDX4MW72B2QOUET4CJZUMZA,True,Too “tall” for our liking.,"I bought this for my boyfriend for Christmas as he uses the Carhart brand quite a bit for workwear. It is too “tall”. We do not like the oversized look, I was expecting this hat to be a smaller, proper fit. I’m disappointed because he hasn’t worn this hat since I bought it for him, and most likely won’t wear it due to it being too big. It’s a shame because it looks like a really nice hat until it’s put on.","January 1, 2020",Melissa,2.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFGXFQDX4MW72B2QOUET4CJZUMZA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-17 19:59:28.384381,2020-09-17 19:59:28.590155,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
11,AE3LRCOFYOIXMTUVY7MELWKBDM6A,True,Holds up to washes. Great quality.,My biggest issue with toques is they often don't hold up well after being washed. This one is just as good after being washed. You really can't beat Carhartt for their quality at this price point. Excellent product.,"June 10, 2020",genericname,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AE3LRCOFYOIXMTUVY7MELWKBDM6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-17 19:59:28.596384,2020-09-17 19:59:28.814496,Carhartt Men's Acrylic Watch Hat,4.6,,Clothing & Accessories,B002G9UDYG,Carhartt Sportswear - Mens,1
