Unnamed: 0,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,brand_name,rank
0,AEZNAED7YKKV27V5CG353BW2WP3Q,True,Comfortable but not a very thick sweatshirt,"Product arrived on time (as per guarantee delivery date)
A bit tough to review the fit as I am a female...usually I wear a mens medium comfortably to accommodate my wide set shoulders, But I think I could actually go to a small in this one as the medium is quite baggy.
I also have a short torso (i am 5'2) but the length is perfect for me.

Comfortable. Thinner than I expected but might actually be better for layering.

Bought the charcoal grey, color matches picture.

I will definitely buy another (or 2!) but perhaps size down to see if its a better fit.

Its cozy and i cant complain about the price

EDIT: When checking the size chart - my chest measurement bumps me into the ""large"" size....so for me, sizing is extremely inaccurate I am swimming a bit in the Medium!","November 15, 2019",C,4.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AEZNAED7YKKV27V5CG353BW2WP3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:00.424852,2020-09-28 19:39:00.588818,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
1,AFY4AJ2URWKRCLVN6H4NDGVF344Q,True,Perfect sweatshirt.,"I just got it in the mail and so far it’s perfect! I was looking for a plain black, roomy sweatshirt/hoodie and found this. I think it runs a bit big in comparison to other XL sweatshirts I’ve tried on before, but that’s totally fine as that’s what I was looking for. Fabric is super soft, I love that it’s about 60% cotton and I love the idea of the tiny pocket inside the bigger pouch pocket.","April 18, 2019",Kiki Petunia,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AFY4AJ2URWKRCLVN6H4NDGVF344Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:00.593698,2020-09-28 19:39:00.814274,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
2,AHQONWHJMLNO2CG2G7NFSRI6NXLA,True,I really love this sweater,"I really love this sweater. It’s well made, there no loose threads hanging on it, or any weird stitching or anything. It’s very sturdy and I have no doubt it will last for a long time. I also really like how soft it is on the inside, it makes it super cozy to wear, and the color is what was pictured and what I wanted. The only thing that isn’t my favourite is I wish it was a bit thicker. It’s not overly thin or anything but I do prefer nice heavy warm sweaters. Overall I would definitely reccomend this sweater though :)","October 15, 2017",Catherina Grace,4.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AHQONWHJMLNO2CG2G7NFSRI6NXLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:00.820130,2020-09-28 19:39:00.994833,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
3,AG3ZMLRAMNLKPRROOV4ZQFBDV6RQ,True,finally a decent hoodie,"I had purchased a different one...the Hanes Eco Smart Fleece Hoodie. It fit awful, stitching was weird and the hood was HUGE, so I returned it. I was wary about buying another inexpensive (re: cheap) hoodie but was pleasantly surprised with this one - fits well (its a large but feels almost like a medium), has a nice fuzzy inside very cozy, not too thick or thin, well made. For the price can't beat it, would definitely recommend.","August 20, 2019",Surly Oldman,4.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AG3ZMLRAMNLKPRROOV4ZQFBDV6RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.000691,2020-09-28 19:39:01.163681,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
4,AG5T22AL2NXEJKRG4F6ERXMLADPQ,True,Great sweatshirt!,"I have purchased a number of these sweatshirts and they are great! Well made, fit well, wash well, and I carry a CGM so the little pocket attached to the kangaroo pocket is the perfect size for my Dexcom receiver.
Love them!","January 11, 2019",K Charlebois,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AG5T22AL2NXEJKRG4F6ERXMLADPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.168561,2020-09-28 19:39:01.317888,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
5,AFSMPL7X3A5D7HXOJECKNIKD2COA,True,Good buy!,"Very nice and comfy. Thankfully the hood was big enough. Ordered a sweater a couple days ago and the hood was so small, bunched up behind head and the pocket at the front was terrible, things kept falling out of it. But this hood and pocket are perfect.
Love it! Definitely a good buy and one that I’ll order again in a different colour.","April 16, 2020",Amber.3,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AFSMPL7X3A5D7HXOJECKNIKD2COA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.328624,2020-09-28 19:39:01.447697,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
6,AGE3Q46QAEYF5SCBWULCAQBLJOKA,True,Very Good Sweatshirt,"For 175 cm, 80 Kg I ordered M, and it fits perfectly. I ordered 5 of these (different colors) because I like them and the price is reasonable. It's not a heavy sweatshirt which makes it good for indoors for casual settings, but also the hoodie is good for another layer of warmth for the head when it's cold with a heavy winter coat. All in all very good and I recommend it.","December 11, 2019",Amazon Customer,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AGE3Q46QAEYF5SCBWULCAQBLJOKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.452577,2020-09-28 19:39:01.571675,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
7,AGJ6WQ5WW6TSWG5XG6IQVVUMOCXQ,True,Love this sweater!,I'm a woman but because I'm top heavy it's hard to find comfy sweaters in the women's dept. I found this and decided to take a chance and see if this would fit. I'm so glad I got this sweater! I love the quality and the colour! I use it for my bike rides or simply when it's a bit cool/ cold out. I'm buying another one in a different colour.,"May 27, 2020",Melanie ventura,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGJ6WQ5WW6TSWG5XG6IQVVUMOCXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.575551,2020-09-28 19:39:01.715120,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
8,AH757Q2FF2T2XTHEHHRFG3SUHSYQ,True,So comfortable my daughter took it,"It is nice and soft after washing, the fit is good and what to expect from a medium the fit. now my daughter scooped it up after I washed it. she uses it as 3/4 sleeping bag and I can get it back to even wear it now","July 21, 2020",Hammie,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AH757Q2FF2T2XTHEHHRFG3SUHSYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.720976,2020-09-28 19:39:01.840048,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
9,AEQRPSOXCN2D3H3SQBJWIH2GUETA,True,Nice sweater for the price.,"The pictures make this sweater seem a bit slimmer than it actually is. The length is true to size but the body is baggy. This isn't necessarily bad, as it's quite comfortable and good quality.","January 27, 2020",Coolbreeze,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEQRPSOXCN2D3H3SQBJWIH2GUETA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:39:01.843952,2020-09-28 19:39:01.967902,Fruit of the Loom Men's Hooded Sweatshirt,4.5,,Clothing & Accessories,B0196XAGKA,Fruit of the Loom Mens Athletic,164
