Unnamed: 0,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,brand_name,rank
0,AH7B5KJR4ET6M6AA3EI4AHNLIJAQ,True,Shirt too short,"Why do most manufacturers think people who are 4xl are also only 5ft tall? My biggest complaint with shirts for the larger gentleman... Is the length is too short and the arm pits have no give... Feel like I'm a t-rex and cant lift my arms. Anyways if you are short and wide.. Will probably fit, if tall (6ft) and wide be prepared for a belly shirt","July 25, 2019",K from Canada,2.0,12,https://www.amazon.ca/gp/profile/amzn1.account.AH7B5KJR4ET6M6AA3EI4AHNLIJAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.075487,2020-09-28 19:48:45.214079,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
1,AEYZQVVZABT6OLOX7RQA4R5VUQVA,True,Not bad for the money. you get what you pay for.,"The fabrics is very light weight. I expected more of a thicker cotton, more typical of a tee shirt. I would have prefered a little longer shirt. If you have ant sort of gut the shirt will look short on you, go one size up. I ordered XL, because that is what I usually wear, I should have ordered 2XL","May 17, 2020",Chris,4.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AEYZQVVZABT6OLOX7RQA4R5VUQVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.217984,2020-09-28 19:48:45.353649,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
2,AHIOT6TXIXFWC7H54NC2RKPZFJRQ,True,Ajustement parfait,Bonne grandeur juste un peu plus grand que mes autre t shirt de la même grandeur que j'ai mais ses pas la même marque pour part je préfère cette ajustement je vais en rachetée de différentes couleur maintenant que je sais que ses parfait,"June 22, 2020",Sherlock,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AHIOT6TXIXFWC7H54NC2RKPZFJRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.358527,2020-09-28 19:48:45.489312,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
3,AGTNSSOPXQKP7372IV5SQP7AX4KQ,True,garbage,"I ordered an XL a couple weeks a go and it was fine, just a little big. I ordered 2 larges and they seemed almost as big as the XL with tighter arms, very odd look. It also seems like it’s thinner, because the shirt is see through. There’s also all kinds of hair and lint all over what are supposed to be brand new shirts, and they weren’t even packaged or folded properly. Awful, definitely returning","March 13, 2019",CJ,1.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AGTNSSOPXQKP7372IV5SQP7AX4KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.494192,2020-09-28 19:48:45.633758,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
4,AF3HT6Z2JP3Q5NNKHXPW6Q5LNKHA,True,Not what they used to be!,"Very poor quality fabric, no stretch and very small for a 3XL so ordered 4XL and they were the same size when laid on each other!","August 18, 2018",Roberto48,1.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AF3HT6Z2JP3Q5NNKHXPW6Q5LNKHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.639614,2020-09-28 19:48:45.778207,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
5,AEZXXRJZINSKUICBT7W5HSL6OXNA,True,Great fit & style,As I have come to expect from Russell Athletics the style and fit is just right. I am a bigger guy so finding clothing to fit and look good is not always easy. Russell Athletics does well in this area. I love the fit and look. Only time will tell how the fabric will stand up after several washes.,"July 20, 2020",David A.,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEZXXRJZINSKUICBT7W5HSL6OXNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.783086,2020-09-28 19:48:45.912893,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
6,AGOWIHHFAX5HA5Y7FNE5BGJHU2PA,True,A bit smaller than I thought,I bought a 4xxx to have a loose shirt for the summer heat will this fits nicely I should have bought a 5xxx,"July 8, 2019",G. Scott Byers,4.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AGOWIHHFAX5HA5Y7FNE5BGJHU2PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:45.917773,2020-09-28 19:48:46.079820,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
7,AHHH4GTOJZGURVNVZIJA4FWWGIXQ,True,Not short,Good fit and fits longer than a normal shirt. Great for longer torso or taller person. Havent tried on after it has been in the wash. But so far washed well.,"September 23, 2019",JADE,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AHHH4GTOJZGURVNVZIJA4FWWGIXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:46.084700,2020-09-28 19:48:46.221340,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
8,AF23ZWHEIQACHDBTWS2TXXPRHE6Q,True,"Decent shirt, a bit overpriced","Nice material and colour, but loose in the collar. Not great value though, as it doesn't feel much different or any better made than regular undershirts.","March 14, 2018",Simon,3.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AF23ZWHEIQACHDBTWS2TXXPRHE6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:46.226219,2020-09-28 19:48:46.359931,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
9,AGBWL6P4D25LJS546CHXHJM7HPMA,True,Real men wears pink,Whoever says that real men don't wear pink is a liar I like this shirt and it makes a great gym attire. Woman likes when a man walks in an establishment with pure confidence and that's what this shirt does it makes you stands out.,"July 25, 2019",T.Davis,5.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AGBWL6P4D25LJS546CHXHJM7HPMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:48:46.363834,2020-09-28 19:48:46.494646,Russell Athletic Mens Basic Cotton T-Shirt T-Shirt,4.3,,Clothing & Accessories,B071WRZTJD,Russell Athletic,270
