Unnamed: 0,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,brand_name,rank
0,AEY3HABPTCEPNTBXPIIXEJECXODQ,True,Good fit just slightly small,Ya great buy was a good pick. Glad to wear this item colour is spot on looking fresh. had a few compliments wearing it last weekend. Haven't washed it yet so that's a huge tell once that happens.,"December 18, 2019",Styles & Miles,4.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AEY3HABPTCEPNTBXPIIXEJECXODQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.083633,2020-09-28 19:43:45.257360,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
1,AFAFQUVLHSZEAOAEC55VTX75WVCQ,True,The Lady Killer ;),"So recently I have been looking for different coloured sweaters to add to my wardrobe before my girlfriend (that I don’t have... yet) takes them all. Haha anyways, i only buy clothes that have style and are cheap, this product was perfect for me! I’m skinny and I normally have to size down the clothes I buy online, but this sweater was perfect!! Cheap enough to give away to my non existent girlfriend, but stylish enough to impress that future sexy señorita ;)","September 6, 2020",Jay,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AFAFQUVLHSZEAOAEC55VTX75WVCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.262240,2020-09-28 19:43:45.427184,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
2,AE5ANPRVCY5EC57VAXRTTQUQ6R6A,True,"Despite Size Chart, It STILL isn't close to fitting....","About 3 sizes off, and the material is paper-thin. Felt like it would dissolve after a washing. AVOID!","January 18, 2019",A Gill,1.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AE5ANPRVCY5EC57VAXRTTQUQ6R6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.432064,2020-09-28 19:43:45.594079,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
3,AFW2RGRRR2SNL5JSN42LKCKL3IUA,True,"Plus side, came weeks before expected","It fits about 2 sizes too small. Also looks like cotton blend. Actually more of a polyester feel. The seems, for the most part, looked great but around the hood there’s definitely a knot or something. Thred was sticking out. Not the best fabric. Feels like a Halloween costume.","December 16, 2018",James,3.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AFW2RGRRR2SNL5JSN42LKCKL3IUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.598960,2020-09-28 19:43:45.759999,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
4,AFVMRSXRICEC6FOJ7RQLHOUB2NWA,True,Buy 1 size bigger,"Love the material, fits nice.... Bought a large when I usually wear a Medium and it fit perfect!","December 28, 2019",fernishiwa,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AFVMRSXRICEC6FOJ7RQLHOUB2NWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.765855,2020-09-28 19:43:45.916158,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
5,AGN3M4TGGO6MSASSCJHAFSE3AUAA,True,Cheap material,"The material feels cheap and is not cotton.

I bought an XL and normally wear a Large. This thing barely fits me. Colour is nice and stitching is nice too but the size chart is off. I would need an XXXL to make this fit me comfortably.","May 11, 2020",Mike Mala,2.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGN3M4TGGO6MSASSCJHAFSE3AUAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:45.920063,2020-09-28 19:43:46.074270,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
6,AHPMIXROZND2ZERI6FMQVELPU47A,True,Way to small,"The fabric feels strange for a sweater, almost like a cheap thick fabric I guess. Way to small ordered a 4XL and fits like a L.","March 15, 2019",abby,2.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AHPMIXROZND2ZERI6FMQVELPU47A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:46.079150,2020-09-28 19:43:46.230430,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
7,AFQFIAZXTXIZBKNJVKSFZLMLJYNQ,True,Terrible quality,"The quality of this is so bad, the photo makes it appear much better, but the fabric is thin, scratchy, cheap cheap quality, took way longer than stated and is not a good fit at all. Save your money, definitely not worth it.","July 2, 2020",Courtney McNeil,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFQFIAZXTXIZBKNJVKSFZLMLJYNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:46.234333,2020-09-28 19:43:46.377805,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
8,AF3I72F5X7SLO6LFKK5FG3I3U7KQ,True,Couleur et texture,"Bonjour, j'ai mon chandail mais je suis déçu car il n'est pas comme sur la photo. Le tissu est complètement uni non texturer. Sinon, pour la coupe c'est ok!","July 1, 2020",Amazon Customer,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AF3I72F5X7SLO6LFKK5FG3I3U7KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:46.382686,2020-09-28 19:43:46.509565,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
9,AF2UDKE3UQYQD7SPZO2IGS3QX6ZQ,True,Grandeur,"Était pour un cadeau, mais la grandeur était trop petite, j’ai commandé un large pour un adolescent qui porte généralement médium et j’aurais dû commander un XL et peut-être XXL. Cependant eu un excellent service à la clientèle et reçu en temps.","December 31, 2018",Claudine,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AF2UDKE3UQYQD7SPZO2IGS3QX6ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:43:46.514445,2020-09-28 19:43:46.633516,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
10,AHOUCCRJZMJU37XPLO4NCZ4BEYOA,True,Poor,"Disliked this product, not what I thought it would be. Way to small, XL fit like a ladies medium.","February 9, 2020",Cortney Zwicker,1.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AHOUCCRJZMJU37XPLO4NCZ4BEYOA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-28 19:43:51.782957,2020-09-28 19:43:51.925451,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
11,AHMII7FM4H46LCLCOCH4B7Z3UNWQ,True,Super produit,"Très beaux pull a capuchon, très léger et la capuche très grande j'adore !!!! TRÈS confo","April 19, 2019",louis-philippe gougeon,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMII7FM4H46LCLCOCH4B7Z3UNWQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-28 19:43:51.930331,2020-09-28 19:43:52.074779,Pervobs Men's Long Sleeve Autumn Pocket Loose Casual Sweatshirt Hoodies Tracksuits,2.7,,Clothing & Accessories,B07GNLPRHG,No,"2,449"
