Unnamed: 0,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,average_rating,total_reviews,product_category,product_id,brand_name,rank
0,AEBCOKPSBVS7XGL3PH35NKK27HPA,True,Exceptional hoodies,The best hoodie I purchased for a while. I ordered for my son and boyfriend they both love the feel and quality. Actually I messaged to see when available again. I want to order the other colours,"March 18, 2020",Lola,5.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AEBCOKPSBVS7XGL3PH35NKK27HPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:07.415871,2020-09-28 19:36:07.555439,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
1,AGSZVOZFE3FW34NRRXMURQI7JB7A,True,GREAT BUY!!,"We love Topp Brands products because of their quality and affordability.
These hoodies are awesome!!
I have ordered a set before along with their jogging pants and long sleeved fleece tops and they are all great.
My husband loved them and so I ordered another set of hoodies of another color set.
So worth it. Keep it up!","February 13, 2020",Miriam Chua,5.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AGSZVOZFE3FW34NRRXMURQI7JB7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:07.561296,2020-09-28 19:36:07.700863,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
2,AHNBMGCWQWG35SFA67WIFBCJDYVQ,True,Very disappointed!!,"Didn't receive the same product as the picture illustrated and the sweaters were wayyyyyy too large.
I would have accepted to keep them if the size were good but nah...not worth it.
Besides these should not even be called sweaters....they're just like regular shirts with a hoodie.
I don't recommend.","August 8, 2020",george,3.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AHNBMGCWQWG35SFA67WIFBCJDYVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:07.705743,2020-09-28 19:36:07.869710,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
3,AETE7BV6C3QO2FVSYKACZVAS4CZQ,True,Poor Quality- Pass on this,"This is the second time I’ve worn this sweater and it’s already piling which is very disappointing.
The fit was nice but if the material is already declining it doesn’t matter much.
My recommendation would be to pass on this one","September 10, 2020",Katie Borek,1.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AETE7BV6C3QO2FVSYKACZVAS4CZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:07.874591,2020-09-28 19:36:08.030752,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
4,AFKE75VC2QDEZNVFIPTTJE74JIAQ,True,Not Bad!,Bought these sweaters for my son. They look better in the picture. I washed them right away. They did not shrink up. The material felt cheap but the price was low too. These will be good hoodies for lounging around the house or campfire.,"August 12, 2020",Amazon Customer,4.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AFKE75VC2QDEZNVFIPTTJE74JIAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.036606,2020-09-28 19:36:08.218142,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
5,AGBWPHSS5F2CKVJIVS3PZZDRX7DQ,True,only 4 because I haven't washed them yet,"These are warm and cozy and look very very nice. Order one size up if you don't like them tight. Haven't washed them yet so they get a 4 so far, if they wash great I will update the review.","August 12, 2020",Amazon Customer,4.0,1,https://www.amazon.ca/gp/profile/amzn1.account.AGBWPHSS5F2CKVJIVS3PZZDRX7DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.223998,2020-09-28 19:36:08.379182,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
6,AEBCZARWR643NL7BUJUWSL5VOQTA,True,"Convient avec les mesures, bonne livraison!","J’ai reçu ses hoodies dans les temps prévu. Ils sont parfaitement ajustés, pas trop petit, pas trop grand. Par contre, ils sont un peu minces. Mais cela me convient. Je vais en recommandé, dans le futur, c’est certain.","January 20, 2020",Sam,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEBCZARWR643NL7BUJUWSL5VOQTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.383085,2020-09-28 19:36:08.549006,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
7,AFXPTCC6YQAEGQEK7HXDDBAS476A,True,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie","These hoodies fit true to size and are very soft and good quality.
I ended up buying 2 more.","January 29, 2020",Mike,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AFXPTCC6YQAEGQEK7HXDDBAS476A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.553885,2020-09-28 19:36:08.726637,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
8,AFCSAT5LHKPDCMQRWTHAXBBOHJPA,True,Excellent,"It's nice when a product exceeds expectations! Very pleased, excellent value for the price. Fit is a bit larger than expected, so if.you want a comfy fit order true to size, if you want a more tailored fit you might want to order a size down.","September 9, 2020",Robert W Ferguson,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFCSAT5LHKPDCMQRWTHAXBBOHJPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.732493,2020-09-28 19:36:08.883772,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
9,AEISUFGDGQFRV6GIEHRAIHGXMQRA,True,"Beau, bon pas chère :)","Beau, bon pas chère.

Excellent pour une tenue de maison. Achetée pour mon mari quand il veut être en moue dans la maison. Matériel confortable, mais après quelque lavage fais des petites pluche intérieur et extérieur. Le matériel n'est pas très épais. Ne pas s'attendre à une qualité supérieure, mais pour le prix, je recommande. C'est un bon pyjama.","April 27, 2020",Cynthia,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEISUFGDGQFRV6GIEHRAIHGXMQRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 19:36:08.888653,2020-09-28 19:36:09.036028,"TEXFIT 2-Pack Men’s Fleece Hoodies, Pullover Sweatshirt Hoodie",4.7,,Clothing & Accessories,B0823R8JVN,,146
